Name,Range_km,Efficiency,Weight,Acceleration(0-100),Firth_stop_range,Battery_kWh,Fast_charger(kW),Towing_kg,Cargo_volume,Price/Range(km),Price
Tesla Model S AWD,590 km,161 Wh/km,2167,3.2,667,95,140,1600,798,188,"€110,970"
Volkswagen e-Up!,205 km,158 Wh/km,1248,11.9,188,32.3,29,0,250,136,"€29,995"
Citroen e-C4,285 km,162 Wh/km,1646,9.9,308,46.3,74,0,380,114,"€31,900"
Toyota C-HR+ 57.7 kWh,330 km,164 Wh/km,1845,8.3,369,54,85,0,416,121,"€41,990"
MG MGS6 EV RWD 77 kWh,405 km,183 Wh/km,1983,7.3,419,74.3,90,1500,798,110,N/A
Opel Corsa-e,295 km,157 Wh/km,1530,8.1,318,46.3,74,0,267,127,"€36,395"
Tesla Model S Plaid,565 km,168 Wh/km,2272,2.4,639,95,140,0,798,214,"€120,970"
Tesla Model 3 Performance,440 km,167 Wh/km,1931,3.7,528,73.5,136,0,542,145,"€61,480"
XPENG P7 RWD Long Range,495 km,167 Wh/km,2095,6.7,552,82.7,135,0,440,102,"€49,600"
Polestar 4 Long Range Dual Motor,485 km,194 Wh/km,2430,3.8,524,94,135,2000,541,152,"€71,200"
Volkswagen ID. Buzz LWB Pro,390 km,221 Wh/km,2628,7.9,432,86,145,1000,1340,159,"€62,719"
Mazda MX-30,170 km,176 Wh/km,1720,9.7,167,30,30,0,366,212,"€35,990"
Tesla Model S P100D,475 km,200 Wh/km,2316,2.7,477,95,100,0,895,311,"€145,420"
Tesla Model S 85D,420 km,192 Wh/km,2184,4.4,423,80.75,95,0,895,225,"€92,800"
Peugeot e-208,285 km,162 Wh/km,1530,9,308,46.3,74,0,265,129,"€39,100"
Tesla Model S 90D,455 km,188 Wh/km,2223,4.4,449,85.5,90,0,895,230,"€103,320"
Mini Cooper E,250 km,146 Wh/km,1615,7.3,267,36.6,60,0,200,138,"€32,900"
Tesla Model 3 Long Range AWD,555 km,142 Wh/km,1899,4.4,654,79,125,1000,682,96,"€50,970"
Audi e-tron GT quattro,415 km,202 Wh/km,2350,4.1,512,83.7,200,0,490,256,"€106,050"
Volkswagen ID.7 Pro S,525 km,164 Wh/km,2226,6.6,600,86,145,1000,532,113,"€59,095"
MG MG4 Urban Comfort Long Range,325 km,162 Wh/km,1520,9.5,328,52.8,75,500,577,90,N/A
Dacia Spring Electric 45,165 km,152 Wh/km,1009,19.1,151,25,29,0,343,107,"€16,900"
Toyota Urban Cruiser 48.8 kWh,270 km,177 Wh/km,1775,9.6,248,47.8,45,750,244,123,"€31,990"
Volkswagen ID.3 Pro,350 km,166 Wh/km,1812,9.6,372,58,75,0,385,104,"€35,460"
XPENG G6 RWD Standard Range,380 km,178 Wh/km,2140,6.9,488,67.8,240,1500,571,117,"€43,600"
Dacia Spring Electric 100,160 km,150 Wh/km,1111,9.6,160,24,35,0,342,123,"€18,700"
Tesla Model S Long Range Plus,555 km,177 Wh/km,2255,3.8,620,98,125,0,894,156,"€81,990"
Hyundai IONIQ 5 Standard Range 2WD,295 km,183 Wh/km,1905,8.5,367,54,140,750,588,162,"€43,900"
Lucid Gravity Grand Touring,615 km,200 Wh/km,2759,3.6,729,123,210,2500,1663,193,"€116,900"
Opel Mokka-e 50 kWh,260 km,178 Wh/km,1598,9.2,283,46.3,74,0,310,154,"€40,650"
Zeekr 001 Long Range RWD,505 km,186 Wh/km,2275,7.2,547,94,135,1500,599,116,"€60,950"
MG MG4 XPOWER,325 km,190 Wh/km,1885,3.8,353,61.7,90,500,388,120,N/A
Hyundai IONIQ 5 Long Range 2WD,390 km,190 Wh/km,2010,7.3,487,74,196,1600,584,132,"€47,900"
Renault Twingo Electric,135 km,158 Wh/km,1186,12.6,92,21.3,0,0,174,193,"€28,000"
Volvo EX30 Single Motor,275 km,178 Wh/km,1840,5.7,306,49,80,1000,325,137,"€39,790"
Polestar 2 Long Range Single Motor,475 km,166 Wh/km,2084,6.2,527,79,110,1500,448,113,"€52,690"
Leapmotor B10 56.2 kWh,305 km,180 Wh/km,1855,8,350,55,100,750,430,95,"€29,900"
MG ZS EV Standard Range,265 km,185 Wh/km,1645,8.6,257,49,50,500,448,133,"€33,990"
Volvo EX30 Twin Motor Performance,340 km,191 Wh/km,1960,3.6,376,65,101,1600,325,145,"€51,690"
Volvo EX40 Single Motor ER,400 km,198 Wh/km,2075,7.3,436,79,110,1500,441,133,"€55,490"
Lucid Air Sapphire,610 km,193 Wh/km,2495,2,693,118,190,0,910,414,"€250,000"
Hyundai Kona Electric 39 kWh,245 km,160 Wh/km,1610,9.9,223,39.2,37,0,332,149,"€36,400"
Hyundai INSTER Standard Range,255 km,153 Wh/km,1380,11.7,266,39,60,0,280,98,"€23,900"
Opel Astra Electric,315 km,161 Wh/km,1736,9.2,343,50.8,79,0,352,125,"€41,990"
Mercedes-Benz EQE 350+,555 km,173 Wh/km,2415,6.5,597,96,141,750,430,136,"€71,412"
BYD DOLPHIN SURF 30 kWh Active,190 km,158 Wh/km,1369,11.1,199,30,45,0,308,118,"€22,990"
Nissan LEAF e+ 62 kWh,345 km,171 Wh/km,1756,7.3,297,59,44,0,420,112,"€37,550"
Renault 5 E-Tech 40kWh 95hp,260 km,154 Wh/km,1428,12,188,40,0,500,326,94,"€24,900"
Tesla Model X Dual Motor,485 km,196 Wh/km,2415,3.9,539,95,140,2300,608,242,"€115,970"
Smart #1 Pro+,335 km,185 Wh/km,1863,6.7,357,62,90,1600,338,124,"€42,490"
BMW i4 eDrive35,430 km,156 Wh/km,2065,6,487,67,95,1600,470,134,"€56,500"
Opel Corsa-e,285 km,162 Wh/km,1530,8.1,308,46.3,74,0,267,107,"€29,900"
Smart #5 Premium,475 km,202 Wh/km,2335,6.5,587,96,230,1600,702,118,"€55,400"
Hyundai IONIQ 6 84 kWh AWD,520 km,154 Wh/km,2105,5.1,661,80,196,1500,416,118,"€61,550"
Peugeot e-5008 97 kWh Long Range,485 km,200 Wh/km,2316,9.6,496,96.9,135,1000,348,115,"€55,350"
Subaru Solterra AWD,320 km,200 Wh/km,2085,6.9,337,64,85,750,441,175,"€57,490"
Honda e:Ny1,335 km,185 Wh/km,1730,7.6,318,61.9,60,0,361,130,"€38,990"
Honda e,170 km,168 Wh/km,1588,9,168,28.5,31,0,171,215,"€33,850"
Nissan LEAF 40 kWh,235 km,166 Wh/km,1580,7.9,218,39,40,0,435,134,"€35,900"
MG IM6 Long Range,500 km,193 Wh/km,2320,5.4,629,96.5,250,0,697,110,N/A
Renault 5 E-Tech 40kWh 120hp,260 km,154 Wh/km,1447,9,269,40,55,500,326,103,"€27,900"
Hyundai IONIQ 6 Long Range AWD,440 km,168 Wh/km,2095,5.1,569,74,208,1500,416,135,"€61,100"
CUPRA Tavascan VZ,425 km,181 Wh/km,2273,5.5,446,77,120,1200,540,144,"€60,780"
Opel Frontera Electric 44 kWh,240 km,183 Wh/km,1573,12.1,254,43.8,62,350,460,118,"€28,990"
Zeekr 7GT Core RWD,410 km,176 Wh/km,2340,5.3,542,72,240,1600,521,117,"€48,950"
Volkswagen ID.3 GTX,470 km,168 Wh/km,1985,5.9,526,79,135,0,385,106,"€47,225"
MG Cyberster GT,395 km,188 Wh/km,2060,3.2,409,74.4,85,0,249,177,"€69,990"
Mercedes-Benz GLB 350 4MATIC,460 km,185 Wh/km,2280,5.5,571,85,208,2000,667,141,"€62,178"
BYD TANG,355 km,243 Wh/km,2705,4.6,342,86.4,108,1500,235,199,"€71,400"
BMW i4 M60 xDrive,465 km,175 Wh/km,2285,3.7,523,81.3,130,1600,470,167,"€72,900"
Opel Ampera-e,335 km,173 Wh/km,1691,7.3,286,58,37,0,381,115,"€42,990"
Lexus RZ 450e,350 km,183 Wh/km,2130,5.6,373,64,85,750,522,183,"€67,890"
Tesla Model X Long Range,440 km,216 Wh/km,2505,4.6,463,95,110,2250,0,206,"€85,990"
MG MG4 Premium Long Range,360 km,171 Wh/km,1840,7.5,406,61.7,110,500,388,96,N/A
Polestar 2,390 km,192 Wh/km,2198,4.7,412,75,97,1500,440,150,"€57,900"
Volvo EX90 Twin Motor,505 km,212 Wh/km,2754,5.9,546,107,150,2200,703,187,"€91,700"
Peugeot e-208 54 kWh,335 km,152 Wh/km,1530,8.2,362,50.8,79,0,309,105,"€37,525"
Renault Kangoo E-Tech Electric,225 km,200 Wh/km,1870,12.6,221,45,50,1500,950,159,"€35,850"
Voyah Free 106 kWh,480 km,208 Wh/km,2415,4.4,433,100,80,2000,622,112,N/A
CUPRA Born 170 kW - 59 kWh,360 km,164 Wh/km,1841,6.7,416,59,110,0,385,107,"€41,450"
Lexus RZ 500e,395 km,182 Wh/km,2100,4.6,431,72,110,1500,522,166,"€63,000"
Toyota C-HR+ 77 kWh AWD,385 km,187 Wh/km,2080,5.2,417,72,110,1500,416,136,"€53,990"
Dacia Spring Electric 45,165 km,152 Wh/km,1012,19.1,151,25,29,0,300,134,"€22,550"
MG MG4 Urban Premium Long Range,325 km,162 Wh/km,1520,9.5,328,52.8,75,500,568,99,N/A
Nissan e-NV200 Evalia,170 km,218 Wh/km,1667,14,157,37,40,0,2000,248,"€43,730"
Ford Capri Extended Range RWD,470 km,168 Wh/km,2098,6.4,526,79,135,1000,572,103,"€51,400"
Skoda Enyaq iV 80x,425 km,181 Wh/km,2193,6.9,458,77,103,1200,585,126,"€49,050"
Lexus RZ 350e,400 km,180 Wh/km,2005,7.5,433,72,110,750,522,144,"€57,100"
MG MG4 Electric 77 kWh,425 km,175 Wh/km,1826,6.5,454,74.4,110,500,363,103,"€45,990"
BMW i4 M50,450 km,181 Wh/km,2290,3.9,514,81.3,130,1600,470,173,"€72,100"
Kia e-Niro 64 kWh,375 km,171 Wh/km,1812,7.8,349,64,61,0,451,108,"€38,105"
Citroen C5 Aircross Comfort Range,375 km,197 Wh/km,2184,8.9,389,73.7,90,1250,565,104,"€42,590"
Tesla Model S Performance,535 km,183 Wh/km,2307,2.8,595,98,125,0,894,194,"€98,990"
Volvo XC40 Recharge Single Motor ER,400 km,198 Wh/km,2075,7.3,436,79,110,1500,441,131,"€53,000"
XPENG G9 RWD Long Range,480 km,194 Wh/km,2285,6.4,585,93.1,212,1500,731,132,"€63,600"
Mercedes-Benz EQS 450+,635 km,170 Wh/km,2480,6.2,702,107.8,169,750,610,179,"€109,551"
Peugeot e-208 51 kWh,315 km,153 Wh/km,1530,8.2,338,48.1,76,0,309,124,"€40,875"
Toyota Urban Cruiser 61.1 kWh AWD,310 km,193 Wh/km,1935,7.4,286,59.8,60,750,238,136,"€44,280"
MG IM5 Long Range,530 km,182 Wh/km,2210,4.9,677,96.5,250,0,475,98,N/A
Audi Q4 e-tron 40,325 km,182 Wh/km,2035,8.1,378,59,110,1000,520,148,"€46,150"
Kia EV6 Long Range AWD,400 km,185 Wh/km,2090,5.2,500,74,196,1600,500,146,"€55,980"
Audi Q4 e-tron 50 quattro,385 km,199 Wh/km,2210,6.2,409,76.6,103,1200,520,168,"€57,900"
Nissan LEAF e+ 62 kWh,340 km,174 Wh/km,1756,6.9,291,59,44,0,420,121,"€41,100"
NIO ET5 Long Range,500 km,180 Wh/km,2235,4,494,90,100,1400,386,140,"€68,500"
Mercedes-Benz EQS 450 4MATIC,655 km,180 Wh/km,2655,5.7,704,118,160,1700,620,185,"€113,359"
Volkswagen ID.3 Pro,350 km,166 Wh/km,1805,9.6,372,58,75,0,385,100,"€34,995"
Porsche Taycan Turbo GT,475 km,204 Wh/km,2365,2.3,610,97,267,0,410,496,"€240,000"
Volkswagen ID. Buzz LWB GTX,380 km,226 Wh/km,2758,6.5,425,86,145,1600,1340,196,"€74,928"
Leapmotor C10 RWD 69.9 kWh,355 km,197 Wh/km,2055,7.5,329,69.9,70,1500,467,107,"€37,600"
Mitsubishi Eclipse Cross 87 kWh,480 km,181 Wh/km,1901,7.9,479,87,95,1100,545,98,"€47,990"
Volkswagen ID. Buzz NWB Pro,370 km,214 Wh/km,2492,7.6,405,79,135,1200,1121,165,"€60,892"
Tesla Model Y Long Range AWD Launch Series,455 km,165 Wh/km,2072,4.3,535,75,124,1600,971,142,"€61,970"
BMW i4 eDrive35,435 km,154 Wh/km,2070,6,493,67.1,95,1600,470,136,"€57,600"
GWM ORA 03 48 kWh,260 km,175 Wh/km,1615,8.3,247,45.4,45,0,228,123,"€26,990"
Nissan Micra Extended Range 52 kWh,330 km,158 Wh/km,1527,8,345,52,75,500,326,98,"€32,990"
Porsche Taycan,410 km,173 Wh/km,2125,5.4,510,71,171,0,491,218,"€88,399"
Mercedes-Benz EQA 250,360 km,185 Wh/km,2040,8.9,368,66.5,99,750,340,144,"€47,541"
Opel Mokka Electric,285 km,178 Wh/km,1615,9,306,50.8,79,0,310,124,"€36,740"
Polestar 2 Long Range Single Motor,470 km,168 Wh/km,2084,6.2,525,79,110,1500,446,112,"€49,975"
MG MGS6 EV Dual Motor 77 kWh,390 km,191 Wh/km,2080,5.1,400,74.3,90,1500,776,127,N/A
Porsche Taycan,495 km,166 Wh/km,2165,4.8,622,82.3,195,0,491,207,"€101,500"
Volkswagen ID.3 Pro S,465 km,166 Wh/km,1957,7.1,511,77,120,0,385,92,"€47,595"
Tesla Model S Long Range,530 km,179 Wh/km,2255,3.8,561,95,110,0,894,155,"€79,990"
Mercedes-Benz EQE 350+,555 km,173 Wh/km,2415,6.1,597,96,141,750,430,132,"€71,412"
Volvo EX90 Twin Motor Performance,485 km,221 Wh/km,2762,4.9,523,107,150,2200,703,213,"€96,800"
XPENG P7+ AWD Performance,425 km,172 Wh/km,2275,4.3,563,73,260,1500,573,127,"€53,600"
Volkswagen ID.4 GTX,420 km,183 Wh/km,2256,5.4,460,77,120,1200,543,139,"€53,255"
Opel Corsa Electric 54 kWh,335 km,152 Wh/km,1544,8.1,359,50.8,79,0,267,93,"€31,490"
Porsche Taycan 4S,395 km,180 Wh/km,2215,4,500,71,171,0,491,272,"€108,867"
Hyundai IONIQ 9 Long Range RWD,505 km,210 Wh/km,2549,9.4,575,106,195,1600,426,139,"€68,500"
Volkswagen ID.7 Tourer GTX,500 km,172 Wh/km,2336,5.5,566,86,145,1800,605,132,"€64,065"
Ford Explorer Extended Range AWD,440 km,180 Wh/km,2167,5.3,493,79,135,1200,536,127,"€52,430"
Mini Cooper SE,180 km,161 Wh/km,1440,7.3,183,28.9,43,0,211,179,"€32,500"
Volkswagen ID.4 1st,410 km,188 Wh/km,2124,8.5,436,77,124,1000,543,116,"€48,691"
Maxus MIFA 9,360 km,233 Wh/km,2485,9.2,340,84,103,1000,521,200,"€68,990"
Kia EV9 99.8 kWh AWD GT-Line,425 km,226 Wh/km,2648,5.3,471,96,196,2500,385,193,"€82,380"
Audi Q6 SUV e-tron performance,490 km,194 Wh/km,2275,6.6,568,94.9,186,2000,590,145,"€68,800"
Tesla Model S 85,405 km,199 Wh/km,2175,5.6,408,80.75,95,0,895,220,"€87,400"
Volkswagen ID.4 Pure,285 km,182 Wh/km,1978,9,318,52,87,1000,543,141,"€40,335"
Mercedes-Benz EQS SUV 450 4MATIC,530 km,223 Wh/km,2840,6.1,543,118,160,1800,645,247,"€114,609"
XPENG G6 RWD Standard Range,365 km,179 Wh/km,2100,6.9,439,65.34,140,1500,571,123,"€43,600"
Volvo EX90 Twin Motor,480 km,213 Wh/km,2725,5.5,567,102,200,2200,703,204,"€96,190"
Hyundai Kona Electric 64.8 kWh,385 km,168 Wh/km,1790,8.1,379,64.8,70,750,493,106,"€41,340"
Skoda Enyaq 60,360 km,164 Wh/km,1998,8.1,416,59,110,1000,585,121,"€44,400"
Volkswagen ID.7 Pro S,525 km,164 Wh/km,2226,6.6,600,86,145,1000,532,114,"€58,985"
Alpine A290 Electric 220 hp,305 km,170 Wh/km,1554,6.4,320,52,75,500,326,132,"€41,900"
Volvo EX60 Cross Country P10 AWD,490 km,186 Wh/km,2370,4.7,603,91,215,2400,575,143,"€68,990"
Kia EV9 99.8 kWh RWD,450 km,213 Wh/km,2501,9.4,502,96,196,900,423,155,"€64,990"
Opel Grandland Electric 73 kWh,370 km,197 Wh/km,2207,9,388,73,90,1200,550,120,"€46,950"
Volkswagen ID.4 GTX,435 km,182 Wh/km,2248,5.4,485,79,135,1800,543,129,"€53,255"
Mercedes-Benz EQB 300 4MATIC,345 km,193 Wh/km,2165,8,357,66.5,100,1700,495,174,"€55,519"
Volvo XC40 P8 AWD Recharge,335 km,224 Wh/km,2188,4.9,342,75,97,1500,450,173,"€60,437"
Smart #3 Brabus,350 km,177 Wh/km,1985,3.7,365,62,90,1600,385,145,"€50,990"
Tesla Model X P100D,420 km,226 Wh/km,2572,3.1,413,95,100,2250,0,374,"€156,900"
Jaguar I-Pace EV400,380 km,223 Wh/km,2208,4.8,360,84.7,83,750,505,205,"€77,300"
Nissan Ariya 63kWh,335 km,188 Wh/km,1980,7.5,340,63,70,750,468,124,"€43,490"
Jeep Compass Electric 74 kWh,370 km,199 Wh/km,2185,8.5,387,73.7,90,1000,550,124,"€50,400"
Skoda Elroq 85x,445 km,173 Wh/km,2141,6.6,493,77,120,1800,470,104,"€46,450"
Skoda Enyaq Coupe 85,470 km,164 Wh/km,2140,6.7,493,77,120,1000,570,107,"€51,150"
Mercedes-Benz EQE 300,525 km,170 Wh/km,2375,6.9,570,89,120,750,430,128,"€67,187"
Volkswagen ID.4 Pure,285 km,182 Wh/km,1966,10.9,301,52,70,1000,543,146,"€36,950"
Porsche Macan 4 Electric,470 km,202 Wh/km,2405,5.2,553,94.9,186,2000,624,180,"€84,100"
Renault Zoe Q210,140 km,166 Wh/km,1503,13.5,148,23.3,33,0,338,134,N/A
Peugeot e-2008,270 km,171 Wh/km,1623,8.5,292,46.3,74,0,434,146,"€37,900"
Alfa Romeo Junior Elettrica 54 kWh,320 km,159 Wh/km,1620,9,343,50.8,79,0,400,122,"€39,500"
Kia EV6 GT,395 km,203 Wh/km,2220,3.5,488,80,205,1800,500,175,"€69,990"
Ford Capri Standard Range RWD,350 km,166 Wh/km,2001,8,377,58,85,1000,572,119,"€42,400"
Volkswagen ID.3 Pro Performance,350 km,166 Wh/km,1812,7.3,369,58,75,0,385,129,"€43,995"
Tesla Model X Plaid,475 km,200 Wh/km,2515,2.9,531,95,140,2250,608,265,"€125,970"
Aiways U5,315 km,190 Wh/km,1795,7.5,313,60,75,0,432,121,"€35,993"
Mercedes-Benz EQA 350 4MATIC,350 km,190 Wh/km,2110,6,359,66.5,100,1800,340,178,"€56,424"
Audi e-tron GT quattro,540 km,180 Wh/km,2355,4,700,97,267,0,482,192,"€108,900"
Volkswagen ID.4 Pure,285 km,182 Wh/km,1975,9,318,52,87,1000,543,142,"€40,335"
Smart ForTwo Electric Drive,100 km,167 Wh/km,1085,11.5,71,16.7,0,0,260,215,"€21,940"
Kia EV6 GT,360 km,206 Wh/km,2200,3.5,444,74,196,1800,500,198,"€72,990"
MG MG4 Urban Comfort Standard Range,260 km,161 Wh/km,1460,9.6,273,41.9,65,500,577,104,N/A
Volvo ES90 Twin Motor,535 km,191 Wh/km,2610,5.5,642,102,200,2000,468,168,"€88,990"
Suzuki e VITARA 61 kWh 4WD AllGrip,310 km,193 Wh/km,1935,7.4,286,59.8,60,750,238,126,"€39,490"
BMW i3 60 Ah,115 km,163 Wh/km,1270,7.2,132,18.8,40,0,260,297,"€34,950"
DS Automobiles N°8 FWD Long Range,545 km,178 Wh/km,2255,7.8,566,97.2,135,1200,620,115,"€63,200"
Toyota bZ4X FWD 73.1 kWh,385 km,179 Wh/km,2000,7.4,423,69,110,750,452,128,"€47,990"
Nissan LEAF Standard Range 52 kWh,330 km,160 Wh/km,1864,8.6,349,52.9,71,975,437,108,"€35,950"
Volkswagen ID.7 Tourer Pro,470 km,164 Wh/km,2191,6.6,535,77,125,1000,605,117,"€54,795"
VinFast VF 6 Eco,315 km,189 Wh/km,2050,10.3,322,59.6,90,0,0,113,"€34,990"
Citroen e-Berlingo M 50 kWh,205 km,226 Wh/km,1739,11.7,219,46.3,74,750,571,190,"€37,790"
Skoda Enyaq 85x,455 km,169 Wh/km,2186,6.7,501,77,120,1800,585,113,"€51,500"
BMW iX1 xDrive30,390 km,167 Wh/km,2085,5.6,419,65.2,95,1200,490,148,"€56,600"
Mercedes-Benz B 250e,150 km,187 Wh/km,1725,7.9,106,28,0,0,501,256,"€39,151"
Hyundai IONIQ 5 Long Range AWD,365 km,192 Wh/km,2095,5.2,451,70,179,1600,555,143,"€49,900"
Audi A6 Avant e-tron quattro,560 km,169 Wh/km,2370,4.5,666,94.9,186,2100,529,150,"€81,450"
Porsche Macan Electric,495 km,192 Wh/km,2295,5.7,578,94.9,186,2000,624,165,"€80,700"
Mercedes-Benz CLA Shooting Brake 350 4MATIC,555 km,153 Wh/km,2155,5,704,85,208,1800,556,116,"€61,653"
Polestar 3 Long Range Dual motor,515 km,208 Wh/km,2654,5,555,107,150,2200,516,168,"€85,590"
BMW iX3,385 km,192 Wh/km,2260,6.8,403,74,94,750,510,175,"€67,300"
BMW i3s 120 Ah,230 km,165 Wh/km,1365,6.9,214,37.9,46,0,260,183,"€42,600"
Opel Astra Sports Tourer Electric,310 km,164 Wh/km,1760,9.3,336,50.8,79,0,516,132,"€43,490"
Toyota Proace Verso L 75 kWh,265 km,260 Wh/km,2240,13.3,252,69,77,1000,989,219,"€58,195"
KGM Musso EV 4WD,360 km,224 Wh/km,2385,8,351,80.6,100,1800,907,131,"€45,990"
Nissan LEAF 30 kWh,170 km,165 Wh/km,1538,11.5,173,28,45,0,370,191,"€33,960"
Citroen e-C4 X,285 km,162 Wh/km,1659,9.7,315,46.3,74,0,510,129,"€35,275"
Lexus UX 300e,340 km,188 Wh/km,1850,7.5,291,64,35,0,316,135,N/A
Volvo EX30 P5,275 km,178 Wh/km,1840,5.7,306,49,80,1400,325,134,N/A
Mazda MX-30,170 km,176 Wh/km,1720,9.7,159,30,34,0,366,198,"€34,490"
XPENG G6 AWD Performance,475 km,184 Wh/km,2195,4.1,565,87.5,180,1500,571,111,"€51,600"
Cadillac LYRIQ 600 E4,460 km,222 Wh/km,2774,5.3,492,102,165,1587,793,180,"€83,000"
Volkswagen ID.7 Tourer Pro,470 km,164 Wh/km,2191,6.6,535,77,125,1000,605,117,"€54,905"
Renault 4 E-Tech 40kWh 120hp,245 km,163 Wh/km,1485,9.2,253,40,55,750,420,112,"€29,400"
Hyundai IONIQ 9 Performance AWD,485 km,219 Wh/km,2685,5.2,550,106,195,2500,390,177,"€86,750"
Volkswagen e-Up!,205 km,158 Wh/km,1235,11.9,188,32.3,29,0,250,118,"€21,421"
Hongqi E-HS9 84 kWh,320 km,239 Wh/km,2580,6.5,334,76.5,112,1500,438,219,N/A
Mini Countryman SE ALL4,365 km,177 Wh/km,2075,5.6,384,64.7,86,1200,460,125,"€49,500"
Volvo EX40 Single Motor ER,400 km,198 Wh/km,2075,7.3,436,79,110,1500,441,135,"€55,490"
Kia EV6 Standard Range 2WD,345 km,174 Wh/km,1955,8.7,425,60,150,750,542,131,"€44,990"
BMW iX2 eDrive20,395 km,164 Wh/km,1960,8.6,422,64.7,86,750,525,135,"€49,400"
NIO EL8 Long Range,440 km,205 Wh/km,2633,4.1,524,90,190,2000,265,232,"€103,900"
Jaguar I-Pace EV400,380 km,223 Wh/km,2208,4.8,360,84.7,83,750,505,207,"€76,815"
Volkswagen ID.4 Pro,410 km,188 Wh/km,2123,10.4,436,77,124,1000,543,126,N/A
XPENG P7 AWD Performance,460 km,180 Wh/km,2215,4.1,519,82.7,135,0,440,130,"€58,600"
Mercedes-Benz EQB 300 4MATIC,340 km,196 Wh/km,2175,8,350,66.5,99,0,495,181,"€55,519"
Hyundai IONIQ 6 N,440 km,182 Wh/km,2166,3.2,543,80,196,0,371,172,N/A
BMW iX M60,485 km,217 Wh/km,2659,3.8,510,105.2,139,2500,500,285,"€136,100"
MG MG4 Electric XPOWER,320 km,193 Wh/km,1878,3.8,357,61.7,107,500,363,139,"€46,990"
Jaguar I-Pace EV400,380 km,223 Wh/km,2226,4.8,354,84.7,83,750,532,235,"€92,400"
Audi A6 Sportback e-tron,485 km,156 Wh/km,2175,6,587,75.8,150,2100,529,137,"€62,800"
Dacia Spring Electric,160 km,156 Wh/km,1020,19.1,151,25,29,0,300,120,"€20,490"
XPENG G9 AWD Performance,465 km,200 Wh/km,2415,3.9,570,93.1,212,1500,731,156,"€71,600"
Mini Cooper JCW,290 km,170 Wh/km,1730,5.9,308,49.2,75,0,200,156,"€40,650"
BMW i5 eDrive40 Sedan,480 km,169 Wh/km,2195,6,536,81.2,123,1500,490,157,"€70,200"
Ford e-Tourneo Courier,200 km,218 Wh/km,1724,11,216,43.6,80,750,0,176,"€35,999"
Porsche Cayenne Turbo Electric,495 km,218 Wh/km,2720,2.5,636,108,290,3000,837,328,"€165,500"
Porsche Taycan 4 Cross Turismo,510 km,190 Wh/km,2355,4.7,655,97,267,0,530,225,"€113,100"
NIO ET5 Touring Long Range,485 km,186 Wh/km,2285,4,527,90,135,1400,450,146,"€68,500"
Skoda Elroq RS,455 km,174 Wh/km,2190,5.4,510,79,135,1800,470,117,"€53,050"
Porsche Taycan 4S,490 km,168 Wh/km,2245,3.7,611,82.3,195,0,491,244,"€120,900"
Polestar 3 Long Range Single motor,530 km,202 Wh/km,2478,7.8,571,107,150,1500,516,150,"€78,590"
Mercedes-Benz EQA 250,395 km,168 Wh/km,2040,8.6,405,66.5,99,750,340,137,"€50,777"
Mercedes-Benz EQE SUV 350+,475 km,202 Wh/km,2490,6.9,503,96,141,750,520,186,"€86,811"
Ford Capri Extended Range AWD,455 km,174 Wh/km,2175,5.3,517,79,135,1200,572,128,"€54,831"
TOGG T10X Standard Range RWD,265 km,189 Wh/km,2099,7.4,323,50,70,0,441,129,"€34,295"
Opel Corsa Electric 50 kWh,290 km,160 Wh/km,1544,8.7,315,46.3,74,0,267,102,"€29,990"
Tesla Model X AWD,490 km,194 Wh/km,2423,3.9,544,95,140,2300,608,237,"€115,970"
Ford Explorer Extended Range AWD,430 km,179 Wh/km,2167,5.3,471,77,120,1800,532,118,"€52,900"
Volkswagen e-Golf,125 km,164 Wh/km,1585,10.4,133,20.5,41,0,380,270,"€34,900"
Smart #1 Brabus,325 km,191 Wh/km,1975,3.9,350,62,90,1600,328,152,"€48,990"
Zeekr X Privilege AWD,350 km,186 Wh/km,2035,3.8,386,65,101,1600,383,139,N/A
Peugeot e-408 58 kWh,355 km,164 Wh/km,1856,7.2,380,58.3,80,0,468,115,N/A
Kia Soul EV,170 km,176 Wh/km,1580,11.2,172,30,40,0,281,190,"€29,490"
Mercedes-Benz EQS 500 4MATIC,640 km,184 Wh/km,2655,4.9,682,118,160,1700,620,212,"€125,378"
Volkswagen ID.5 Pro,455 km,169 Wh/km,2131,6.7,508,77,120,1000,549,115,"€51,270"
Nissan LEAF 24 kWh,135 km,163 Wh/km,1505,11.5,143,22,34,0,370,213,"€29,690"
Tesla Model X Performance,470 km,209 Wh/km,2552,3.1,516,98,125,2250,0,240,"€107,990"
Volvo XC40 Recharge Pure Electric,305 km,220 Wh/km,2030,7.4,325,67,113,1500,450,164,"€48,650"
Volvo XC40 Recharge Twin Motor,385 km,205 Wh/km,2170,4.8,414,79,110,1800,441,155,"€59,950"
Hyundai Kona Electric 48 kWh,295 km,164 Wh/km,1690,8.8,288,48.4,50,300,493,135,"€41,990"
Dongfeng Box 31.4 kWh,190 km,153 Wh/km,1251,12.5,205,29,50,0,326,124,N/A
Porsche Macan Electric,495 km,192 Wh/km,2295,5.7,578,94.9,186,2000,624,166,"€81,200"
NIO ET5 Standard Range,410 km,179 Wh/km,2215,4,447,73.5,110,1400,386,149,"€59,500"
Tesla Model X 75D,335 km,216 Wh/km,2427,5.2,336,72.5,80,2250,0,283,"€93,500"
